,,,,,,,,,,,,,,,,,,,,,
1,f_1,1. General identification information about the survey,,,,,,,,,,,,,,,,,,,
2,f_1_0,1.0. Country,HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia),HR (Croatia)
3,f_1_1,1.1. ID number (leave blank),HRS001,HRS002,HRS003,HRS004,HRS005,HRS006,HRS007,HRS008,HRS009,HRS010,HRS011,HRS012,HRS013,HRS014,HRS015,HRS016,HRS017,HRS018,HRS019
4,f_1_2,1.2. Acronym,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable,-999.Not applicable
5,f_1_3,1.3. Survey Name Eng.,"Attitudes, Values, Personality, and Political Behaviour and Preferences: Comparative Analysis of Croats and Serbian Ethnic Minority in Croatia",The Effect of Immigration from Bosnia and Herzegovina on the Socio-Demographic Development of Croatian Urban Regions,"Foreign Workers in Croatia: Origin, Status, Orientation",Empirical Research: (Re)Construction of Primary Social Relations Network in Local Communities in Western and Eastern Slavonia,Coexistence of Croats and Serbs in Post-war Period,Social integration and collective identities in multi-ethnic areas of Croatia (project),Spatial Aspects of Social Distance Towards the Roma,"Living together, learning together",Minority languages and the language policy in the rural area of Baranya (Croatia),Anthropological and Epidemiological Cross-sectional Study of Bayash Roma in Croatia,"Acculturation Process and Its Effects on Dietary Habits, Nutritional Behavior and Body-Image in Adolescents",Attitudes towards education in Vukovar,Attitudes towards education in Vukovar,Attitudes towards education in Vukovar,"Survey about the attitudes and beliefs of the population of Mostar, Prijedor, and Vukovar toward the (re)building of community; attitudes toward reconciliation and members of other national groups; and attitudes toward war crimes, war crimes trials and, specifically, the International Criminal Tribunal for the former Yugoslavia (ICTY)","Survey about the attitudes and beliefs of the population of Mostar, Prijedor, and Vukovar toward the (re)building of community; attitudes toward reconciliation and members of other national groups; and attitudes toward war crimes, war crimes trials and, specifically, the International Criminal Tribunal for the former Yugoslavia (ICTY)",A Study of Perceived Parental Communication and Propensity towards Reconciliation among Youth in Vukovar (Croatia),"Analysis of migration trends and functions of areas inhabited by Roma: example of Međimurje county (Croatia) and the settlement of Kuršanec - segment of the UNDP project ""Platform for Roma
Inclusion in Međimurje County""",Final monitoring report on employment and education of Serbian national minority in three counties
6,f_1_4,1.4. Survey Name Nat.,"Stavovi, vrijednosti, osobine ličnosti i političko ponašanje i preferencije: komparativna analiza Hrvata i pripadnika srpske etničke manjine u Hrvatskoj",Utjecaj doseljenika iz Bosne i Hercegovine na socio-demografski razvoj hrvatskih urbanih regija,"Strani radnici u Hrvatskoj: porijeklo, status, orijentacije",Empirijsko istraživanje: (re)konstrukcija mreže primarnih socijalnih odnosa u lokalnim zajednicama Zapadne i Istočne Slavonije,Suživot Hrvata i Srba u poslijeratnom razdoblju,Socijalna integracija i kolektivni identiteti u višeetničkim područjima Hrvatske (projekt),Prostorni aspekti socijalne distance prema Romima,"Živjeti zajedno, učiti zajedno",Manjinski jezici i jezična politika u ruralnom području Baranje (Hrvatska),Antropološko i epidemiološko krozsekcionalno istraživanje Roma Bajaša u Hrvatskoj,"Utjecaj akulturacijskog procesa na prehrambene navike, prehrambeno ponašanje i percepciju vlastitog izgleda adolescenta",Stavovi prema školovanju u Vukovaru,Stavovi prema školovanju u Vukovaru,Stavovi prema školovanju u Vukovaru,"Anketno istraživanje o stavovima o uzajamnim odnosima prije, za vrijeme i nakon rata, o mogućnostima suživota i pomirenja, te stavovima prema ratnim zločinima, suđenjima za ratne zločine i Međunarodnom kaznenom sudu za područje bivše Jugoslavije u Hagu","Anketno istraživanje o stavovima o uzajamnim odnosima prije, za vrijeme i nakon rata, o mogućnostima suživota i pomirenja, te stavovima prema ratnim zločinima, suđenjima za ratne zločine i Međunarodnom kaznenom sudu za područje bivše Jugoslavije u Hagu",A Study of Perceived Parental Communication and Propensity towards Reconciliation among Youth in Vukovar (Croatia),UNDP - Platforma za uključivanje Roma u Međimurskoj županiji,Istraživanje o socioekonomskom statusu srpske nacionalne manjine
7,f_1_5,1.5. Territorial scope of survey,2.Subnational,2.Subnational,2.Subnational,2.Subnational,2.Subnational,2.Subnational,2.Subnational,2.Subnational,2.Subnational,2.Subnational,2.Subnational,2.Subnational,2.Subnational,2.Subnational,2.Subnational,2.Subnational,2.Subnational,2.Subnational,2.Subnational
8,f_1_6,1.6. Which subnational level,Regional,Local,Local,Regional,Regional,Local,Regional; Local,Counties,Local,Local,Regional,Local,Local,Local,Local,Local,Local,Local,Counties
9,f_1_7,1.7. Name of region(s) Eng.,Osijek-Baranja county; Vukovar-Srijem county,Sesvete municipality (Zagreb),Karlovac; Rijeka; Zagreb,Eastern Slavonia; Western Slavonia,Banovina; Dalmatia,Daruvar; Gospić; Pakrac; Plaški; Rovinj; Vrbovsko,Međimurska county,Istria County; Vukovar-Srijem County; Zagreb County,Darda municipality,Beli Manastir; Boldman; Darda; Kuršanec; Torjanci,Dalmatia,Vukovar,Vukovar,Vukovar,Vukovar,Vukovar,Vukovar,Kuršanec,Karlovac county; Požega-Slavonia county; Sisak-Moslavina county
10,f_1_7a,1.7a. Region (for sorting),Osijek-Baranja county,Sesvete municipality (Zagreb),Karlovac,Eastern Slavonia,Banovina,Daruvar,Međimurska county,Istria County,Darda municipality,Beli Manastir,Dalmatia,Vukovar,Vukovar,Vukovar,Vukovar,Vukovar,Vukovar,Kuršanec,Karlovac county
11,f_1_8,1.8. Name of region(s) Nat.,Osječko-baranjska županija; Vukovarsko-srijemska županija,Sesvete (Grad Zagreb),Grad Karlovac; Grad Rijeka; Grad Zagreb,Istočna Slavonija; Zapadna Slavonija,Banija; Dalmacija,Daruvar; Gospić; Pakrac; Plaški; Rovinj; Vrbovsko,Međimurska županija,Istarska županija; Vukovarsko-srijemska; Zagrebačka županija,Darda,Beli Manastir; Boldman; Darda; Kuršanec; Torjanci,Dalmacija,Vukovar,Vukovar,Vukovar,Vukovar,Vukovar,Vukovar,Kuršanec,Karlovačka županija; Požeško-Slavonska županija; Sisačko-Moslavačka županija
12,f_1_8a,"1.8a. If subnational, add the NUTS/LAU code of the specific cities/regions",HR04C; HR04B,01333,01333; 03735; 01791,04120; 02992; no NUTS/LAU code; 04618; no NUTS/LAU code; no NUTS/LAU code; 05681; no NUTS/LAU code; no NUTS/LAU code; 03182; no NUTS/LAU code; no NUTS/LAU code; no NUTS/LAU code; 05185; no NUTS/LAU code; 00299; no NUTS/LAU code; no NUTS/LAU code; no NUTS/LAU code; 06092 ,03280; 01210; no NUTS/LAU code; no NUTS/LAU code; 01961 (Knin); 04111 (Stankovci); no NUTS/LAU code (all other locations),01309; 03182; 03336; 03743; 05096; 00671,HR046 (06068),HR04C; HR036; HR042,00663,00663; 00132; no NUTS/LAU code; no NUTS/LAU code; no NUTS/LAU code,HR035; 01538,05185,05185,05185,05185,05185,05185,HR046 (Međimurje county),HR04D; HR04E; HR049
